,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1080,#boston,6.985,41.558,23.192
1,0.22,14,#world,2.639,-54.858,101.112
2,0.224,5,#northkorea,1.609,21.224,81.021
3,0.229,9,#bostonbombings,2.197,-51.388,3.513
4,0.238,8,#hiphop,2.079,-26.109,4.913
5,0.243,6,#cambridge,1.792,-17.683,-19.368
6,0.249,9,conn,2.197,-0.888,3.156
7,0.275,137,#news,4.92,-75.146,-13.682
8,0.277,5,#newengland,1.609,-74.149,67.787
9,0.28,19,#marathonmonday,2.944,-31.426,-47.528
10,0.287,10,#music,2.303,52.972,-2.831
11,0.298,5,#business,1.609,-13.454,28.128
12,0.301,12,wednesday,2.485,69.467,-26.803
13,0.321,7,#coffee,1.946,59.327,46.879
14,0.367,10,#radio,2.303,-5.214,-43.504
15,0.377,9,nite,2.197,52.867,-54.05
16,0.377,5,#maryland,1.609,-41.594,30.428
17,0.377,10,#massachusetts,2.303,35.841,-25.49
18,0.379,19,#opangel,2.944,-73.09,24.074
19,0.383,39,#celtics,3.664,77.939,12.71
20,0.385,122,#bostonmarathon,4.804,-39.395,-79.515
21,0.396,6,doubleheader,1.792,-15.228,91.94
22,0.402,13,@specialtycoffee,2.565,-44.168,-22.899
23,0.42,23,headed,3.135,-1.79,52.941
24,0.423,7,#newyork,1.946,8.796,-21.194
25,0.426,12,#nyc,2.485,21.848,-49.077
26,0.427,11,mullen,2.398,-63.961,-48.035
27,0.427,7,#mbta,1.946,-3.073,-72.419
28,0.429,14,#running,2.639,13.489,25.526
29,0.439,12,#advertising,2.485,-31.575,58.057
30,0.439,10,#toronto,2.303,30.22,-80.91
31,0.44,9,#fenway,2.197,25.312,0.326
