,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,9,#bostonbombings,2.197,112.855,-86.089
1,0.175,9,conn,2.197,79.152,-1.323
2,0.184,14,#world,2.639,36.594,-64.585
3,0.229,1080,#boston,6.985,10.162,118.698
4,0.235,16,updates,2.773,-99.077,138.887
5,0.244,8,#hiphop,2.079,-102.101,37.098
6,0.253,6,#cambridge,1.792,43.496,-23.521
7,0.272,39,#celtics,3.664,-30.05,-3.48
8,0.272,122,#bostonmarathon,4.804,-72.6,81.742
9,0.283,5,#business,1.609,-130.819,-96.53
10,0.286,10,#music,2.303,26.747,66.491
11,0.294,19,#marathonmonday,2.944,40.574,23.217
12,0.299,137,#news,4.92,-72.944,-89.402
13,0.305,10,#radio,2.303,-34.671,150.756
14,0.316,12,wednesday,2.485,63.006,98.502
15,0.323,5,#northkorea,1.609,-72.685,-2.766
16,0.323,5,#fantasybasketball,1.609,-43.835,-42.227
17,0.324,13,@specialtycoffee,2.565,8.552,-5.499
18,0.325,7,#coffee,1.946,122.236,27.286
19,0.332,20,turn,2.996,121.355,-26.67
20,0.343,7,economy,1.946,79.386,-51.594
21,0.348,18,#heat,2.89,11.812,-99.604
22,0.351,12,#advertising,2.485,-22.728,77.77
23,0.351,10,#miamiheat,2.303,-130.968,-9.101
24,0.357,9,nite,2.197,-49.656,37.743
25,0.359,9,#basketball,2.197,63.376,-103.787
26,0.361,6,doubleheader,1.792,25.113,-147.871
27,0.365,14,#running,2.639,-90.438,-44.802
28,0.368,11,mullen,2.398,-40.173,-130.575
29,0.37,19,analyst,2.944,-26.387,-80.838
30,0.379,15,digital,2.708,78.583,48.895
31,0.381,5,#openfollow,1.609,-4.383,34.212
