,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,77365,biden,11.256,79.059,-28.127
1,0.289,5,istikrar,1.609,150.816,85.582
2,0.297,0,inauguration,-inf,3.41,164.75
3,0.304,30,groupe,3.401,8.464,-147.954
4,0.305,6,@wildwillow,1.792,24.502,-68.73
5,0.309,5,mabuza,1.609,-47.039,-84.401
6,0.319,5,hunley,1.609,79.187,130.467
7,0.324,5,layamayan,1.609,-27.836,-20.039
8,0.355,5,@spudmonkey,1.609,-49.48,49.525
9,0.36,5,@planetleela,1.609,23.319,16.174
10,0.369,5,@stephen,1.609,144.186,-76.105
11,0.381,5,@toshls,1.609,-68.029,126.589
12,0.384,5,dabede,1.609,-126.578,72.036
13,0.385,5,@like,1.609,-93.837,-9.512
14,0.385,5,paknowsbest,1.609,-75.702,-154.276
15,0.387,5,@matthewlrigdon,1.609,-127.823,-82.236
16,0.391,5,tesis,1.609,11.144,86.174
17,0.404,5,@formerrepublic,1.609,81.912,49.447
18,0.409,33,appelle,3.497,-168.573,-2.606
19,0.424,18679,plans,9.835,82.007,-123.164
20,0.425,5,@gregdemarco,1.609,151.189,3.468
