,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,14820,#biden,9.604,-21.92,-101.187
1,0.24,5293,#joebiden,8.574,85.159,96.181
2,0.284,71753,#trump,11.181,-5.179,-9.034
3,0.297,4818,#usa,8.48,75.203,53.281
4,0.356,5,#duopoly,1.609,86.315,-11.386
5,0.379,5208,#inauguration,8.558,48.667,8.352
6,0.386,8,#protagongr,2.079,68.58,155.693
7,0.389,4903,#covid,8.498,-118.971,-22.654
8,0.389,19,#well,2.944,19.808,50.585
9,0.389,1322,#politicalprisoners,7.187,113.985,-88.914
10,0.391,168,#therealvirusisglobalism,5.124,-20.474,100.442
11,0.396,101,@oppenheimera,4.615,-26.542,50.378
12,0.398,15,drzap,2.708,-43.714,151.716
13,0.403,591,cile,6.382,116.146,-44.497
14,0.405,10,#gidle,2.303,-446.535,-341.675
15,0.411,59,#nye,4.078,-88.221,29.78
16,0.412,905,#coronavirus,6.808,-285.594,148.721
17,0.416,9,@medianama,2.197,-72.337,87.746
18,0.421,182,#psychopaci,5.204,516.851,57.421
19,0.427,4304,#capitol,8.367,25.24,116.908
20,0.429,26439,#impeachment,10.183,33.041,-51.983
21,0.437,1111,#politics,7.013,34.673,-376.912
22,0.438,1379,#china,7.229,-59.292,-136.572
23,0.438,5274,#donaldtrump,8.571,-47.969,8.041
24,0.441,13,listu,2.565,207.097,20.832
25,0.449,1463,investiture,7.288,138.442,22.498
26,0.45,1372,prisoners,7.224,-17.54,-190.867
27,0.45,77,#aarp,4.344,88.75,-137.436
28,0.45,18253,administration,9.812,-68.845,-43.45
29,0.45,9,isnotmypresident,2.197,-128.813,67.182
30,0.451,1336,#america,7.197,-17.065,-55.61
