,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,3430,#bidenharris,8.14,-9.909,-28.773
1,0.179,69,#bumpup,4.234,8.582,-32.951
2,0.229,1333,#bideninauguration,7.195,2.632,-14.961
3,0.305,17,@hank,2.833,-32.017,18.016
4,0.306,29,#ambazonialivesmatter,3.367,31.142,-34.151
5,0.334,648,#kamalaharris,6.474,-24.344,-40.944
6,0.36,5293,#joebiden,8.574,20.663,-17.435
7,0.378,5111,#inaugurationday,8.539,-42.191,-32.785
8,0.384,44,#fam,3.784,-43.557,-52.524
9,0.401,15,wjth,2.708,-4.938,40.947
10,0.415,6,#scottishindependence,1.792,28.581,15.665
11,0.417,49,#grenfelltower,3.892,-12.755,22.862
12,0.419,557,#whitehouse,6.323,15.396,0.79
13,0.421,122,#buildbackbetter,4.804,-47.457,30.384
14,0.427,11,@maartenvda,2.398,-63.293,14.336
15,0.43,19,jurno,2.944,-14.343,-11.233
16,0.432,44,apparences,3.784,36.893,-5.661
17,0.441,13,#resigntrumponce,2.565,14.609,-53.014
18,0.451,19,#aaloknama,2.944,-20.579,-61.516
19,0.455,14,#bluewave,2.639,-62.154,-31.502
20,0.456,11,#bidenpresident,2.398,-26.941,38.993
21,0.461,5208,#inauguration,8.558,-5.26,-47.928
22,0.463,14,ering,2.639,-46.554,-14.525
23,0.463,43,wende,3.761,-65.222,-8.275
24,0.463,32,@fegnassingbe,3.466,-31.397,-4.748
25,0.465,11,washingtonista,2.398,5.322,18.078
26,0.465,89,#uswahl,4.489,-27.525,-22.258
27,0.467,29993,@kamalaharris,10.309,-45.944,5.412
28,0.472,41,#vicepresidentharris,3.714,16.202,34.169
29,0.473,13,@lorax,2.565,-2.554,2.284
30,0.474,83,#bidencheatedandgotcaught,4.419,-18.822,6.339
