,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,13388,#bidenharrisinauguration,9.502,5.575,12.971
1,0.199,73018,#inauguration,11.198,-48.406,3.838
2,0.206,93623,#inaugurationday,11.447,-56.971,-18.418
3,0.226,2986,#bideninauguration,8.002,-68.815,-2.935
4,0.234,11071,#bidenharris,9.312,13.217,41.496
5,0.325,1502,#presidentbiden,7.315,-40.406,-31.75
6,0.341,5634,#trumpslastday,8.637,-22.037,-24.327
7,0.37,9,#usindiarelation,2.197,-18.713,-43.703
8,0.385,15846,#washingtondc,9.671,16.027,-0.142
9,0.389,5,#tohealwemustremember,1.609,-45.409,26.293
10,0.392,1284,#bidentakeaction,7.158,-11.349,12.628
11,0.393,3300,#byebyetrump,8.102,33.003,-10.571
12,0.396,8,@cluby,2.079,21.111,-49.497
13,0.406,1543,#dcmilitary,7.341,-2.966,28.598
14,0.41,18206,#joebiden,9.81,-66.037,24.158
15,0.412,20,#trumplooroll,2.996,-13.503,47.019
16,0.415,11331,#covid,9.335,-17.348,-4.694
17,0.417,5196,#americaortrump,8.556,-36.442,48.118
18,0.418,2811,#trumpseriesfinale,7.941,52.205,5.385
19,0.42,1750,#covidmemorial,7.467,27.712,-31.639
20,0.421,5006,#kamalaharris,8.518,-24.357,28.689
21,0.422,54882,@joebiden,10.913,-35.411,-10.643
22,0.424,8,@jaynuhlol,2.079,3.35,62.067
23,0.427,46226,#biden,10.741,17.712,24.013
24,0.429,8,@ehuves,2.079,53.572,-21.498
25,0.43,15,@sanjayazadsln,2.708,-5.104,-18.445
26,0.439,384,#joebideninauguration,5.951,12.778,-16.465
27,0.439,7,#justgetthruthis,1.946,-29.352,9.207
28,0.44,6,#lyingdogfacedponysoldier,1.792,-0.907,-2.283
29,0.443,1717,#trumpcoupattempt,7.448,29.316,10.158
30,0.445,6336,#trumptreason,8.754,-0.859,-54.475
31,0.447,211,#onemoreday,5.352,39.461,30.538
