,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1842,#bideninauguration,7.519,2.004,-10.17
1,0.279,97,#hellonearth,4.575,-27.82,-31.394
2,0.303,5608,#bidenharris,8.632,-23.822,89.294
3,0.323,7,#housingpolicy,1.946,47.342,61.99
4,0.325,18465,#inauguration,9.824,23.162,29.501
5,0.331,29,#impreachment,3.367,29.009,100.233
6,0.358,11870,#inaugurationday,9.382,60.982,25.557
7,0.372,9932,#joebiden,9.204,-16.091,-75.589
8,0.378,101,#mail,4.615,64.503,-85.41
9,0.381,702,#americafirst,6.554,108.486,5.884
10,0.397,50,#reconnecttigray,3.912,-30.969,-0.241
11,0.41,2764,#kamalaharris,7.924,-105.726,-29.37
12,0.414,428,#presidentelectbiden,6.059,-47.125,-58.698
13,0.414,47,#stopethnicprofilingtigrayans,3.85,-67.413,63.163
14,0.419,6,#dronevolt,1.792,-28.419,-114.131
15,0.419,51,#eritreaoutoftigray,3.932,-52.164,22.129
16,0.426,2251,#america,7.719,-83.344,-58.499
17,0.429,97,#ballotfraud,4.575,65.341,-9.983
18,0.434,9,#arrestation,2.197,104.529,-33.328
19,0.434,1646,#whitehouse,7.406,27.768,-61.625
20,0.435,170,#socialism,5.136,-70.447,-99.502
21,0.44,296,adopted,5.69,96.0,49.183
22,0.443,11,#libros,2.398,36.164,-131.655
23,0.448,25,jani,3.219,0.529,-42.965
24,0.45,5,devueltas,1.609,-27.715,47.486
25,0.451,5,#americahashadenough,1.609,31.229,-29.339
26,0.451,164,#inaguration,5.1,-6.644,20.379
27,0.452,8,#gettoknowmvp,2.079,64.414,-45.659
28,0.453,5567,#usa,8.625,-61.883,-18.654
29,0.453,279,#giphy,5.631,-91.593,16.991
30,0.456,38,@doggintrump,3.638,31.503,0.638
31,0.456,10,#governogenocida,2.303,16.664,-96.726
