,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,0,boston,-inf,-7.106,55.473
1,0.433,13,specialist,2.565,94.083,58.985
2,0.452,46,welcome,3.829,11.349,-65.703
3,0.464,10,adjuncts,2.303,53.141,35.694
4,0.493,53,reuters,3.97,-32.565,40.093
5,0.5,11,drink,2.398,43.779,-84.629
6,0.51,23,headed,3.135,-53.071,19.549
7,0.511,12,terriers,2.485,52.196,4.803
8,0.514,8,prime,2.079,23.63,14.173
9,0.515,11,style,2.398,-20.479,-24.326
10,0.521,23,month,3.135,-3.427,24.409
11,0.527,29,cambridge,3.367,57.837,-24.905
12,0.535,244,time,5.497,-24.894,6.418
13,0.537,32,lead,3.466,5.733,90.175
14,0.545,27,song,3.296,-17.576,-57.578
15,0.549,32,heading,3.466,-75.754,-33.314
16,0.555,211,love,5.352,22.166,44.983
17,0.556,44,haha,3.784,6.858,-104.052
18,0.558,14,vegas,2.639,5.975,-35.318
19,0.561,298,miami,5.697,27.867,-15.567
20,0.562,9,fucked,2.197,-72.334,-74.066
21,0.563,54,trip,3.989,1.31,-5.469
22,0.564,288,tonight,5.663,-48.423,-12.194
23,0.564,14,arrived,2.639,76.165,-61.519
24,0.564,284,going,5.649,-44.285,-44.776
25,0.565,37,philly,3.611,88.199,13.916
26,0.573,173,know,5.153,-80.828,2.338
27,0.574,13,shopping,2.565,-32.283,-91.718
28,0.583,291,good,5.673,36.082,-46.434
29,0.583,282,weekend,5.642,-79.209,49.866
30,0.585,160,great,5.075,-43.378,80.424
31,0.592,206,come,5.328,94.437,-24.728
