,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,9,#bostonbombings,2.197,-100.846,22.944
1,0.177,9,conn,2.197,41.073,-35.46
2,0.181,14,#world,2.639,6.406,-44.029
3,0.194,16,updates,2.773,-44.751,-97.713
4,0.22,6,#cambridge,1.792,-30.573,13.234
5,0.227,5,#northkorea,1.609,76.515,-38.327
6,0.23,19,#marathonmonday,2.944,-2.284,-85.098
7,0.235,8,#hiphop,2.079,-42.679,-23.448
8,0.245,5,#business,1.609,-61.769,-52.856
9,0.245,122,#bostonmarathon,4.804,20.697,-8.683
10,0.248,10,#music,2.303,128.04,-26.46
11,0.248,10,#radio,2.303,54.723,-2.24
12,0.26,1080,#boston,6.985,-25.992,-56.878
13,0.263,137,#news,4.92,119.681,72.025
14,0.266,12,wednesday,2.485,75.789,108.011
15,0.269,7,#coffee,1.946,-89.359,-21.695
16,0.273,6,doubleheader,1.792,-22.645,46.438
17,0.28,12,#advertising,2.485,-11.232,-15.772
18,0.282,5,beers,1.609,75.066,-80.352
19,0.287,18,#heat,2.89,37.408,27.244
20,0.291,11,mullen,2.398,-59.908,45.273
21,0.292,14,#running,2.639,11.015,53.421
22,0.3,19,analyst,2.944,76.671,37.348
23,0.312,7,economy,1.946,3.21,19.0
24,0.314,19,#opangel,2.944,-63.697,6.327
25,0.314,39,#celtics,3.664,91.593,1.229
26,0.327,15,digital,2.708,-77.567,80.485
27,0.337,10,#miamiheat,2.303,8.799,92.278
28,0.34,23,headed,3.135,-32.792,83.374
29,0.344,5,#newengland,1.609,29.922,-109.876
30,0.348,33,#marketing,3.497,46.349,65.61
31,0.355,5,#maryland,1.609,-97.833,-74.787
