,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,2961,#capitolbuilding,7.993,0.735,-65.563
1,0.268,7,@corumphoto,1.946,67.533,-44.372
2,0.286,13,#wshingtondc,2.565,-11.103,-0.855
3,0.29,1585,#capitolriots,7.368,22.584,-1.438
4,0.304,19,#somebodyknowswhatimean,2.944,5.862,33.814
5,0.389,5226,#capitol,8.561,-34.272,-47.573
6,0.402,4523,#nationalguard,8.417,-15.615,65.987
7,0.425,1238,#dcmilitary,7.121,104.939,-19.951
8,0.432,1434,#dclockdown,7.268,95.254,21.677
9,0.442,30,thammendment,3.401,81.871,60.291
10,0.455,314,surreal,5.749,-21.342,-134.87
11,0.46,57,#capitalhill,4.043,-101.551,47.861
12,0.462,178,@ladylibertyinex,5.182,56.586,-7.48
13,0.468,22,#onoublierapas,3.091,34.123,75.987
14,0.469,355,@arawnsley,5.872,-44.744,-11.086
15,0.477,1211,#capitolhill,7.099,7.103,123.835
16,0.481,5,#baiden,1.609,-74.472,13.14
17,0.488,8,#forajairbolsonaro,2.079,27.807,-38.249
18,0.489,29,#dualswag,3.367,-5.631,-32.111
19,0.491,5104,near,8.538,-63.392,-69.114
20,0.493,872,easy,6.771,-75.745,-109.607
21,0.496,2629,#uscapitol,7.874,9.374,-103.417
22,0.498,19,#joebidenpresidentelect,2.944,-57.328,55.677
23,0.502,422,patch,6.045,42.15,-75.26
24,0.503,1970,setting,7.586,95.097,-85.304
25,0.503,7581,#washingtondc,8.933,49.377,-118.456
26,0.507,28065,#inauguration,10.242,47.525,34.079
27,0.509,8660,#insurrection,9.066,-110.423,-62.059
28,0.511,34,#investigatecammack,3.526,-112.987,-9.949
29,0.511,25,#macrondemission,3.219,-29.644,-88.308
30,0.511,308,woodland,5.73,-35.138,24.86
31,0.516,14,#bolsonarospresos,2.639,-53.857,108.153
