,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,12716,#capitolriot,9.451,-5.226,57.393
1,0.214,2133,#capitolriots,7.665,-3.496,-55.439
2,0.246,7513,#insurrection,8.924,-12.935,-30.424
3,0.297,8247,#capitolbuilding,9.018,-38.428,-31.928
4,0.345,830,#insurrectionists,6.721,-31.783,-59.506
5,0.362,2034,#trumpcoupattempt,7.618,13.462,-32.65
6,0.366,807,#magaterrorists,6.693,-59.336,32.876
7,0.371,10050,#trumptreason,9.215,1.44,-9.395
8,0.377,5305,#capitol,8.576,28.577,-60.935
9,0.389,511,#domesticterrorism,6.236,-80.072,3.787
10,0.41,1504,#sedition,7.316,39.578,-32.199
11,0.411,6,@paesiedizoni,1.792,51.702,59.606
12,0.418,65,#airportarrest,4.174,-20.106,36.293
13,0.424,60,#insurrections,4.094,-71.448,-35.241
14,0.424,41,@mikef,3.714,23.158,86.177
15,0.43,41,pandilla,3.714,28.844,-10.068
16,0.432,55,@joseairtonpt,4.007,20.878,54.618
17,0.436,157,#whiteprivilege,5.056,-39.061,57.495
18,0.439,364,#capitolsiege,5.897,46.665,9.041
19,0.443,2827,#blm,7.947,66.594,31.947
20,0.443,328,#capitolbreach,5.793,-53.53,-6.591
21,0.45,7,@danielmaiamello,1.946,85.904,10.011
22,0.457,6,@carlosv,1.792,32.507,31.26
23,0.46,18,transviados,2.89,5.932,33.751
24,0.463,6956,#maga,8.847,-18.038,82.556
25,0.464,488,#traitors,6.19,64.55,-52.834
26,0.468,7,#resginmastriano,1.946,-37.27,16.673
27,0.47,621,#capitolhill,6.431,17.016,11.265
28,0.47,18,@rogeriov,2.89,-24.874,-6.589
29,0.472,208665,capitol,12.248,-8.803,14.173
30,0.473,762,#gopcomplicittraitors,6.636,-63.093,-76.158
31,0.477,209,crowdsourced,5.342,62.489,-16.311
