,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,13310,#convicttrump,9.496,2.517,15.228
1,0.156,5,@pesterplarson,1.609,-21.885,18.558
2,0.329,587,#seditionhasconsequences,6.375,16.319,26.887
3,0.351,7574,#trumptreason,8.932,-0.177,-128.599
4,0.361,7649,#trumpimpeachment,8.942,16.167,-40.798
5,0.388,66,#convictremovedisqualifynow,4.19,2.899,1.361
6,0.399,6,@dadychery,1.792,-15.823,6.855
7,0.401,37,#prankstraightlokal,3.611,-15.858,-8.308
8,0.406,457,#seditiousgop,6.125,-20.186,51.455
9,0.408,2342,#impeachtrump,7.759,31.639,65.893
10,0.408,548,#eeltheseditionists,6.306,2.115,55.708
11,0.408,363,#seditioncaucus,5.894,-77.088,-17.272
12,0.409,7749,retweet,8.955,-73.434,64.48
13,0.41,22,#hesadangertoamerica,3.091,59.923,103.045
14,0.411,5616,accountable,8.633,-11.195,-39.123
15,0.414,1193,#removethetraitors,7.084,19.397,7.479
16,0.415,1533,@meidastouch,7.335,25.725,-8.821
17,0.415,741,#gopcomplicittraitors,6.608,-15.424,-71.621
18,0.418,555,#convictandremove,6.319,-62.088,6.219
19,0.421,921,#trumpcrimefamily,6.825,-31.988,-15.561
20,0.422,511,#goptraitorstodemocracy,6.236,-44.412,27.192
21,0.428,504,#trumpcrimefamilyforprison,6.223,34.379,18.477
22,0.432,290,#traitorssupporttraitortrump,5.67,-2.084,32.146
23,0.434,646,#arresttrump,6.471,-17.917,33.037
24,0.435,420,#traitors,6.04,14.667,-21.903
25,0.435,5,#teamseojun,1.609,-4.656,-26.513
26,0.436,14,regreso,2.639,-45.856,-0.882
27,0.44,2140,#trumpcoupattempt,7.669,-32.405,32.429
28,0.441,3922,#insurrection,8.274,102.635,-53.9
29,0.443,147,#insurrectionhasconsequences,4.99,4.263,-10.642
30,0.446,534,#trumpfailedamerica,6.28,13.954,-113.979
