,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1237,#databreach,7.12,-1.175,-18.589
1,0.254,2389,#cybersecurity,7.779,5.139,-8.742
2,0.3,11,defacement,2.398,-9.266,-4.364
3,0.327,341,#hacking,5.832,-23.394,9.011
4,0.339,1316,#infosec,7.182,26.221,1.986
5,0.344,9,#capcom,2.197,5.249,14.479
6,0.348,1061,#security,6.967,13.384,19.91
7,0.35,216,#dataleak,5.375,-3.007,-10.319
8,0.35,1139,#datasecurity,7.038,-0.758,-1.857
9,0.352,8,@bleepincomputer,2.079,-13.737,11.15
10,0.354,988,#dataprotection,6.896,7.908,-16.806
11,0.36,20,#hive,2.996,-20.898,-17.641
12,0.367,23,#vulnerabilites,3.135,0.45,23.26
13,0.385,126,#cyberforensics,4.836,16.774,-0.192
14,0.387,576,#malware,6.356,-10.508,-14.857
15,0.395,103,#ramsomware,4.635,-11.36,21.059
16,0.402,11,#insiderthreat,2.398,11.601,7.703
17,0.402,23,pentest,3.135,18.591,-18.42
18,0.407,178,#cyberattacks,5.182,-25.915,-3.391
19,0.408,75,#email,4.317,20.573,11.362
20,0.411,56,#databreaches,4.025,8.085,-0.693
21,0.424,169,#hacker,5.13,24.062,-9.097
22,0.425,234,#cybercrime,5.455,10.472,-26.215
23,0.428,582,#technology,6.366,-6.998,4.45
24,0.431,747,#dataprivacy,6.616,-0.434,-28.282
25,0.432,401,#phishing,5.994,-11.131,-24.626
26,0.438,16,#kgfchapter,2.773,14.002,-9.055
27,0.441,6,@scmagazine,1.792,-16.15,1.648
28,0.448,47,#solarwinds,3.85,-17.323,-8.303
29,0.448,25,#morocco,3.219,-4.104,13.287
30,0.449,24,merentiel,3.178,2.132,6.14
