,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,20422,#donaldtrump,9.924,-68.072,32.324
1,0.197,98487,#trump,11.498,141.009,-7.098
2,0.26,273,#giphy,5.609,154.764,45.856
3,0.301,8,#bursturhead,2.079,-52.995,-49.911
4,0.302,4188,@potus,8.34,33.173,-62.403
5,0.316,8,@editslew,2.079,74.621,-95.244
6,0.325,8,@bbytoki,2.079,-76.897,-10.711
7,0.343,14610,#usa,9.589,-32.74,-11.772
8,0.349,8661,#maga,9.067,106.866,100.815
9,0.349,1750,#whitehouse,7.467,-97.849,82.595
10,0.351,6336,#trumptreason,8.754,53.957,73.768
11,0.362,2243,@whitehouse,7.716,-71.301,-98.73
12,0.368,8,@aisxlol,2.079,-111.063,-46.705
13,0.379,3786,#america,8.239,7.512,1.546
14,0.379,18206,#joebiden,9.81,-123.333,23.806
15,0.385,5,@aggressivedem,1.609,99.819,50.146
16,0.397,8,@jaynuhlol,2.079,40.555,-21.046
17,0.411,5634,#trumpslastday,8.637,11.733,47.829
18,0.411,2090,#potus,7.645,45.755,-143.092
19,0.417,2412,#gop,7.788,125.216,-66.786
20,0.42,3300,#byebyetrump,8.102,89.481,2.34
21,0.421,6,#lyingdogfacedponysoldier,1.792,40.473,133.042
22,0.43,1519,rederecht,7.326,-24.853,28.042
23,0.438,6,@yammerapple,1.792,-133.029,-107.55
24,0.444,2811,#trumpseriesfinale,7.941,-3.284,-41.531
25,0.45,5,bancho,1.609,-42.867,125.621
26,0.45,1340,@realdonaldtrump,7.2,-38.244,69.021
27,0.458,1370,#president,7.223,-29.112,-138.915
28,0.459,1915,#melaniatrump,7.557,81.181,-42.367
29,0.46,6,deslumbrante,1.792,3.383,97.458
30,0.46,762,#impeachedtwice,6.636,47.236,22.962
31,0.462,1324,#trumpimpeachment,7.188,13.671,-105.638
