,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1824,#boston,7.509,-15.241,61.602
1,0.186,139,cope,4.934,-119.187,-46.363
2,0.269,59,right,4.078,-65.725,-38.126
3,0.287,7,#sot,1.946,101.8,0.051
4,0.294,4271,#bostonbombings,8.36,59.892,-68.323
5,0.302,94,#bostonstrong,4.543,-85.989,-86.614
6,0.336,14,#tsarnaevtrial,2.639,-62.383,25.144
7,0.369,14,memorial,2.639,-4.992,-55.785
8,0.371,13,#bostonterror,2.565,-25.555,-29.549
9,0.372,20,#suspect,2.996,-53.236,63.556
10,0.376,17,#bombings,2.833,73.345,-30.922
11,0.377,482,#bostonmarathon,6.178,-86.133,-3.588
12,0.381,219,#watertown,5.389,23.654,122.64
13,0.384,18,#bostonmanhunt,2.89,49.936,-118.316
14,0.386,30,#marathon,3.401,17.395,-84.237
15,0.398,11,#rip,2.398,-45.721,-4.426
16,0.416,24,think,3.178,-92.531,46.811
17,0.419,6,#cambridge,1.792,41.908,-17.553
18,0.419,13,#mitshooting,2.565,-9.133,3.928
19,0.424,39,#breaking,3.664,63.432,9.876
20,0.443,5,#bostonelosions,1.609,61.541,77.862
21,0.445,7,#ows,1.946,43.15,41.441
22,0.445,5,#elosion,1.609,8.339,-21.922
23,0.45,6,#oneboston,1.792,-27.91,29.45
24,0.45,12,#prayersforboston,2.485,7.717,36.872
25,0.464,132,#fbi,4.883,20.148,74.323
26,0.468,9,#nwo,2.197,112.017,-56.746
27,0.469,27,according,3.296,84.088,41.869
28,0.471,45,time,3.807,-25.922,96.547
29,0.472,8,#bostonmarathonbombings,2.079,-40.352,-65.736
30,0.476,79,today,4.369,29.856,-48.36
31,0.481,41,#falseflag,3.714,-23.557,-101.367
