,Date (GMT),Count
0,2013-04-15,87
1,2013-04-16,120
2,2013-04-17,70
3,2013-04-18,70
4,2013-04-19,349
5,2013-04-20,176
6,2013-04-21,41
7,2013-04-22,58
8,2013-04-23,25
9,2013-04-24,20
10,2013-04-25,30
11,2013-04-26,13
12,2013-04-27,6
13,2013-04-28,6
14,2013-04-29,6
15,2013-04-30,6
16,2013-05-01,23
17,2013-05-02,10
18,2013-05-03,3
19,2013-05-04,12
20,2013-05-05,3
21,2013-05-06,7
22,2013-05-07,5
23,2013-05-08,1
24,2013-05-09,3
25,2013-05-10,3
26,2013-05-11,2
27,2013-05-12,0
28,2013-05-13,0
29,2013-05-14,1
30,2013-05-15,0
31,2013-05-16,1
32,2013-05-17,0
33,2013-05-18,0
34,2013-05-19,0
35,2013-05-20,1
36,2013-05-21,1
37,2013-05-22,4
38,2013-05-23,1
39,2013-05-24,0
40,2013-05-25,0
41,2013-05-26,0
42,2013-05-27,0
43,2013-05-28,0
44,2013-05-29,2
45,2013-05-30,2
46,2013-05-31,0
47,2013-06-01,1
48,2013-06-02,0
49,2013-06-03,0
50,2013-06-04,0
51,2013-06-05,0
52,2013-06-06,0
53,2013-06-07,1
54,2013-06-08,0
55,2013-06-09,1
56,2013-06-10,0
57,2013-06-11,0
58,2013-06-12,0
59,2013-06-13,1
60,2013-06-14,1
61,2013-06-15,1
62,2013-06-16,0
63,2013-06-17,0
64,2013-06-18,1
65,2013-06-19,0
66,2013-06-20,0
67,2013-06-21,0
68,2013-06-22,0
69,2013-06-23,0
70,2013-06-24,4
71,2013-06-25,0
72,2013-06-26,0
73,2013-06-27,4
74,2013-06-28,0
75,2013-06-29,0
76,2013-06-30,0
77,2013-07-01,0
78,2013-07-02,0
79,2013-07-03,0
80,2013-07-04,0
81,2013-07-05,0
82,2013-07-06,0
83,2013-07-07,1
84,2013-07-08,0
85,2013-07-09,0
86,2013-07-10,3
87,2013-07-11,1
88,2013-07-12,0
89,2013-07-13,0
90,2013-07-14,0
91,2013-07-15,0
92,2013-07-16,1
93,2013-07-17,1
94,2013-07-18,0
95,2013-07-19,1
96,2013-07-20,0
97,2013-07-21,0
98,2013-07-22,0
99,2013-07-23,0
100,2013-07-24,0
101,2013-07-25,0
102,2013-07-26,0
103,2013-07-27,0
104,2013-07-28,0
105,2013-07-29,0
106,2013-07-30,0
107,2013-07-31,0
108,2013-08-01,0
109,2013-08-02,0
110,2013-08-03,0
111,2013-08-04,0
112,2013-08-05,0
113,2013-08-06,1
114,2013-08-07,0
115,2013-08-08,0
116,2013-08-09,0
117,2013-08-10,0
118,2013-08-11,0
119,2013-08-12,0
120,2013-08-13,0
121,2013-08-14,0
122,2013-08-15,1
123,2013-08-16,0
124,2013-08-17,0
125,2013-08-18,0
126,2013-08-19,0
127,2013-08-20,2
128,2013-08-21,0
129,2013-08-22,0
130,2013-08-23,0
131,2013-08-24,0
132,2013-08-25,0
133,2013-08-26,0
134,2013-08-27,0
135,2013-08-28,0
136,2013-08-29,0
137,2013-08-30,0
138,2013-08-31,0
139,2013-09-01,0
140,2013-09-02,0
141,2013-09-03,0
142,2013-09-04,0
143,2013-09-05,0
144,2013-09-06,0
145,2013-09-07,0
146,2013-09-08,0
147,2013-09-09,0
148,2013-09-10,0
149,2013-09-11,0
150,2013-09-12,1
151,2013-09-13,0
152,2013-09-14,0
153,2013-09-15,0
154,2013-09-16,0
155,2013-09-17,0
156,2013-09-18,0
157,2013-09-19,0
158,2013-09-20,0
159,2013-09-21,0
160,2013-09-22,0
161,2013-09-23,0
162,2013-09-24,0
163,2013-09-25,0
164,2013-09-26,0
165,2013-09-27,0
166,2013-09-28,0
167,2013-09-29,0
168,2013-09-30,0
169,2013-10-01,0
170,2013-10-02,0
171,2013-10-03,1
172,2013-10-04,0
173,2013-10-05,0
174,2013-10-06,0
175,2013-10-07,0
176,2013-10-08,0
177,2013-10-09,0
178,2013-10-10,0
179,2013-10-11,1
180,2013-10-12,0
181,2013-10-13,0
182,2013-10-14,0
183,2013-10-15,0
184,2013-10-16,0
185,2013-10-17,0
186,2013-10-18,0
187,2013-10-19,0
188,2013-10-20,0
189,2013-10-21,0
190,2013-10-22,0
191,2013-10-23,0
192,2013-10-24,0
193,2013-10-25,0
194,2013-10-26,0
195,2013-10-27,0
