,Date (GMT),Count
0,2013-04-15 19:00:00,6
1,2013-04-15 20:00:00,19
2,2013-04-15 21:00:00,26
3,2013-04-15 22:00:00,21
4,2013-04-15 23:00:00,15
5,2013-04-16 00:00:00,12
6,2013-04-16 01:00:00,7
7,2013-04-16 02:00:00,10
8,2013-04-16 03:00:00,11
9,2013-04-16 04:00:00,1
10,2013-04-16 05:00:00,2
11,2013-04-16 06:00:00,8
12,2013-04-16 07:00:00,7
13,2013-04-16 08:00:00,1
14,2013-04-16 09:00:00,5
15,2013-04-16 10:00:00,5
16,2013-04-16 11:00:00,4
17,2013-04-16 12:00:00,0
18,2013-04-16 13:00:00,6
19,2013-04-16 14:00:00,4
20,2013-04-16 15:00:00,5
21,2013-04-16 16:00:00,6
22,2013-04-16 17:00:00,2
23,2013-04-16 18:00:00,5
24,2013-04-16 19:00:00,3
25,2013-04-16 20:00:00,4
26,2013-04-16 21:00:00,11
27,2013-04-16 22:00:00,0
28,2013-04-16 23:00:00,1
29,2013-04-17 00:00:00,1
30,2013-04-17 01:00:00,1
31,2013-04-17 02:00:00,0
32,2013-04-17 03:00:00,0
33,2013-04-17 04:00:00,0
34,2013-04-17 05:00:00,3
35,2013-04-17 06:00:00,1
36,2013-04-17 07:00:00,2
37,2013-04-17 08:00:00,2
38,2013-04-17 09:00:00,1
39,2013-04-17 10:00:00,0
40,2013-04-17 11:00:00,0
41,2013-04-17 12:00:00,2
42,2013-04-17 13:00:00,1
43,2013-04-17 14:00:00,0
44,2013-04-17 15:00:00,5
45,2013-04-17 16:00:00,3
46,2013-04-17 17:00:00,9
47,2013-04-17 18:00:00,12
48,2013-04-17 19:00:00,19
49,2013-04-17 20:00:00,2
50,2013-04-17 21:00:00,3
51,2013-04-17 22:00:00,2
52,2013-04-17 23:00:00,1
53,2013-04-18 00:00:00,3
54,2013-04-18 01:00:00,3
55,2013-04-18 02:00:00,3
56,2013-04-18 03:00:00,3
57,2013-04-18 04:00:00,5
58,2013-04-18 05:00:00,3
59,2013-04-18 06:00:00,3
60,2013-04-18 07:00:00,2
61,2013-04-18 08:00:00,1
62,2013-04-18 09:00:00,0
63,2013-04-18 10:00:00,2
64,2013-04-18 11:00:00,2
65,2013-04-18 12:00:00,0
66,2013-04-18 13:00:00,3
67,2013-04-18 14:00:00,1
68,2013-04-18 15:00:00,2
69,2013-04-18 16:00:00,2
70,2013-04-18 17:00:00,0
71,2013-04-18 18:00:00,0
72,2013-04-18 19:00:00,2
73,2013-04-18 20:00:00,2
74,2013-04-18 21:00:00,15
75,2013-04-18 22:00:00,9
76,2013-04-18 23:00:00,4
77,2013-04-19 00:00:00,5
78,2013-04-19 01:00:00,2
79,2013-04-19 02:00:00,1
80,2013-04-19 03:00:00,1
81,2013-04-19 04:00:00,1
82,2013-04-19 05:00:00,2
83,2013-04-19 06:00:00,7
84,2013-04-19 07:00:00,18
85,2013-04-19 08:00:00,9
86,2013-04-19 09:00:00,7
87,2013-04-19 10:00:00,21
88,2013-04-19 11:00:00,19
89,2013-04-19 12:00:00,29
90,2013-04-19 13:00:00,17
91,2013-04-19 14:00:00,14
92,2013-04-19 15:00:00,29
93,2013-04-19 16:00:00,34
94,2013-04-19 17:00:00,28
95,2013-04-19 18:00:00,16
96,2013-04-19 19:00:00,19
97,2013-04-19 20:00:00,16
98,2013-04-19 21:00:00,6
