,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,9,#bostonbombings,2.197,-10.636,-3.66
1,0.177,16,updates,2.773,1.301,-18.462
2,0.182,9,conn,2.197,-46.353,22.462
3,0.202,14,#world,2.639,57.714,-3.62
4,0.243,6,#cambridge,1.792,-12.775,49.315
5,0.253,122,#bostonmarathon,4.804,6.828,4.481
6,0.259,19,#marathonmonday,2.944,64.408,40.985
7,0.265,1080,#boston,6.985,-42.553,-20.37
8,0.27,10,#music,2.303,-76.467,-22.509
9,0.271,8,#hiphop,2.079,19.473,-8.42
10,0.288,5,#business,1.609,36.988,-19.151
11,0.295,10,#radio,2.303,-28.758,5.531
12,0.304,14,#running,2.639,-35.117,-42.237
13,0.305,5,#northkorea,1.609,47.724,21.669
14,0.307,13,@specialtycoffee,2.565,17.709,-28.924
15,0.309,137,#news,4.92,34.512,-43.476
16,0.316,12,wednesday,2.485,-17.315,74.91
17,0.332,12,#advertising,2.485,5.453,30.694
18,0.333,7,#coffee,1.946,10.408,55.311
19,0.34,26,garden,3.258,36.588,2.765
20,0.341,7,economy,1.946,22.502,-65.82
21,0.343,18,#heat,2.89,-7.973,16.143
22,0.345,13,#muse,2.565,28.583,36.019
23,0.358,5,beers,1.609,8.007,-46.917
24,0.364,11,mullen,2.398,-22.014,-18.577
25,0.365,5,#maryland,1.609,-13.994,-57.767
26,0.365,10,#miamiheat,2.303,21.653,16.081
27,0.366,15,blue,2.708,-22.671,28.561
28,0.369,39,#celtics,3.664,-50.728,-0.002
29,0.371,8,#sox,2.079,36.473,57.645
30,0.381,6,threat,1.792,-40.239,46.756
31,0.386,20,turn,2.996,55.812,-31.351
