,Date (GMT),Count
0,2013-04-12 01:00:00,1
1,2013-04-12 02:00:00,2
2,2013-04-12 03:00:00,0
3,2013-04-12 04:00:00,1
4,2013-04-12 05:00:00,0
5,2013-04-12 06:00:00,0
6,2013-04-12 07:00:00,0
7,2013-04-12 08:00:00,0
8,2013-04-12 09:00:00,0
9,2013-04-12 10:00:00,1
10,2013-04-12 11:00:00,1
11,2013-04-12 12:00:00,2
12,2013-04-12 13:00:00,1
13,2013-04-12 14:00:00,0
14,2013-04-12 15:00:00,2
15,2013-04-12 16:00:00,2
16,2013-04-12 17:00:00,1
17,2013-04-12 18:00:00,3
18,2013-04-12 19:00:00,3
19,2013-04-12 20:00:00,1
20,2013-04-12 21:00:00,3
21,2013-04-12 22:00:00,0
22,2013-04-12 23:00:00,2
23,2013-04-13 00:00:00,0
24,2013-04-13 01:00:00,0
25,2013-04-13 02:00:00,3
26,2013-04-13 03:00:00,1
27,2013-04-13 04:00:00,0
28,2013-04-13 05:00:00,2
29,2013-04-13 06:00:00,0
30,2013-04-13 07:00:00,0
31,2013-04-13 08:00:00,0
32,2013-04-13 09:00:00,0
33,2013-04-13 10:00:00,1
34,2013-04-13 11:00:00,1
35,2013-04-13 12:00:00,1
36,2013-04-13 13:00:00,3
37,2013-04-13 14:00:00,7
38,2013-04-13 15:00:00,1
39,2013-04-13 16:00:00,3
40,2013-04-13 17:00:00,2
41,2013-04-13 18:00:00,3
42,2013-04-13 19:00:00,1
43,2013-04-13 20:00:00,4
44,2013-04-13 21:00:00,1
45,2013-04-13 22:00:00,2
46,2013-04-13 23:00:00,3
47,2013-04-14 00:00:00,0
48,2013-04-14 01:00:00,0
49,2013-04-14 02:00:00,0
50,2013-04-14 03:00:00,0
51,2013-04-14 04:00:00,0
52,2013-04-14 05:00:00,0
53,2013-04-14 06:00:00,0
54,2013-04-14 07:00:00,0
55,2013-04-14 08:00:00,0
56,2013-04-14 09:00:00,0
57,2013-04-14 10:00:00,0
58,2013-04-14 11:00:00,0
59,2013-04-14 12:00:00,0
60,2013-04-14 13:00:00,0
61,2013-04-14 14:00:00,0
62,2013-04-14 15:00:00,0
