,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,482,#bostonmarathon,6.178,11.719,-72.948
1,0.136,18,#pray,2.89,139.254,-54.911
2,0.221,12,#prayersforboston,2.485,50.002,0.043
3,0.24,9,timeline,2.197,92.495,-18.361
4,0.268,30,#marathon,3.401,-44.927,35.706
5,0.276,6,#conspiracy,1.792,70.413,80.834
6,0.278,11,#rip,2.398,-126.529,-35.779
7,0.279,94,#bostonstrong,4.543,-21.9,98.746
8,0.288,6,#oneboston,1.792,18.845,137.232
9,0.296,7,#sot,1.946,-70.604,-47.486
10,0.298,114,#prayforboston,4.736,-21.53,-37.233
11,0.299,13,#bostonterror,2.565,-58.956,-134.094
12,0.32,14,#bombing,2.639,-7.173,52.628
13,0.332,6,#bostonelosion,1.792,-139.09,23.22
14,0.333,9,#nwo,2.197,1.401,-119.433
15,0.338,45,time,3.807,19.379,-28.185
16,0.353,447,marathon,6.103,58.931,-103.8
17,0.354,5,#waco,1.609,157.999,15.398
18,0.355,74,#usa,4.304,-89.685,-4.995
19,0.369,10,@nbcnews,2.303,-104.442,-91.874
20,0.372,12,fuck,2.485,-62.03,76.619
21,0.376,139,cope,4.934,59.488,-54.266
22,0.377,1824,#boston,7.509,-0.414,10.348
23,0.383,4271,#bostonbombings,8.36,87.965,149.851
24,0.383,41,#falseflag,3.714,130.498,94.25
25,0.384,10,#bostonsuspect,2.303,-113.89,85.262
26,0.386,39,#breaking,3.664,88.232,32.788
27,0.389,19,case,2.944,37.194,41.025
28,0.394,5,#bostonelosions,1.609,-45.694,-4.242
29,0.407,17,#bombings,2.833,-38.669,-80.943
30,0.408,11,#suspects,2.398,-90.893,39.2
31,0.412,8,#bostonmarathonbombings,2.079,-64.063,127.948
