,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,6,#cambridge,1.792,83.265,265.212
1,0.097,13,#mitshooting,2.565,-32.868,90.627
2,0.103,18,#bostonmanhunt,2.89,204.73,-189.169
3,0.108,5,#bostonelosions,1.609,-210.593,262.555
4,0.115,9,#nwo,2.197,-200.472,-182.549
5,0.119,7,#ows,1.946,-107.733,-108.459
6,0.12,8,#bostonmarathonbombings,2.079,312.087,35.094
7,0.147,107,#manhunt,4.673,-293.643,-89.007
8,0.151,219,#watertown,5.389,360.32,-220.827
9,0.153,17,#bombings,2.833,12.069,-455.34
10,0.158,13,#bostonterror,2.565,-18.363,201.229
11,0.167,6,#conspiracy,1.792,24.728,-62.288
12,0.178,6,understand,1.792,148.353,-55.833
13,0.19,21,#mit,3.045,188.21,159.24
14,0.195,6,#oneboston,1.792,33.575,-282.246
15,0.203,16,#america,2.773,66.464,35.669
16,0.205,20,@richbaris,2.996,-69.347,-7.794
17,0.207,20,#suspect,2.996,295.214,-92.791
18,0.208,8,#bostonmararthon,2.079,188.439,44.64
19,0.208,12,#terrorist,2.485,203.432,291.285
20,0.211,94,#bostonstrong,4.543,-30.707,-176.792
21,0.213,10,#bostonsuspect,2.303,-126.584,-299.25
22,0.214,6,#bostonelosion,1.792,-285.382,54.204
23,0.214,9,town,2.197,-185.632,-28.208
24,0.221,74,#usa,4.304,-126.496,182.495
25,0.236,12,#prayersforboston,2.485,177.237,-338.349
26,0.254,18,#pray,2.89,86.254,-158.831
27,0.256,11,#suspects,2.398,-164.722,82.854
28,0.259,5,#waco,1.609,308.776,183.776
29,0.26,7,#sot,1.946,80.743,144.503
30,0.278,30,#jewishtimes,3.401,-76.082,317.75
31,0.286,27,according,3.296,-360.527,184.658
