,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,10474,#impeachment,9.257,21.027,19.621
1,0.295,2824,#impeachmentbolsonarourgente,7.946,-58.611,-47.511
2,0.335,1427,#impeachmentja,7.263,55.963,-28.126
3,0.349,1209,#forabolsonarogenocida,7.098,82.859,-90.798
4,0.376,2592,#forabolsonaro,7.86,30.831,-76.009
5,0.4,924,#impeachmentbolsonaro,6.829,-99.253,-87.187
6,0.425,527,#bolsonarogenocida,6.267,82.21,18.314
7,0.435,265,#bolsonarismomata,5.58,95.042,74.157
8,0.435,8,@ianbrown,2.079,21.94,-134.469
9,0.448,5973,deputado,8.695,-72.004,46.542
10,0.461,14,#bolsonarospresos,2.639,145.443,-120.571
11,0.461,8,#forajairbolsonaro,2.079,-42.055,-147.497
12,0.462,48,opportunit,3.871,-25.895,-89.623
13,0.465,771,complicit,6.648,-3.003,-32.21
14,0.469,9648,favor,9.175,-99.375,-11.17
15,0.47,1144,@sos,7.042,182.13,-54.427
16,0.476,5,#desenhos,1.609,-157.196,-44.467
17,0.483,5,#sallusti,1.609,35.163,74.382
18,0.485,129,#bras,4.86,-17.665,57.98
19,0.487,257,#forapazuello,5.549,72.409,-174.295
20,0.488,11053,#donaldtrump,9.31,157.328,87.205
21,0.49,13075,mais,9.478,-112.3,-150.507
22,0.495,617,#mentiroso,6.425,74.791,153.118
23,0.495,12,prester,2.485,-123.595,106.689
24,0.495,1042,veis,6.949,-37.346,5.622
25,0.498,302990,impeachment,12.621,1.753,127.372
26,0.502,12,#vachina,2.485,7.482,210.893
27,0.503,643,#president,6.466,113.598,-38.301
28,0.505,204,#bolsonarobroxa,5.318,-131.925,40.027
29,0.506,43922,bolsonaro,10.69,151.113,18.497
30,0.508,1480,quais,7.3,-71.814,179.986
31,0.509,3756,#placardoimpeachment,8.231,-54.263,108.687
