,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,1045,#impeachmentday,6.952,-4.624,19.269
1,0.256,51,#badmouthedmom,3.932,-29.18,5.294
2,0.301,67,#ubisoft,4.205,-57.422,8.269
3,0.354,60,gebrauchen,4.094,-21.359,114.637
4,0.369,275,#goodriddance,5.617,17.964,4.409
5,0.37,69,#wednesdaywisdom,4.234,-47.481,-54.974
6,0.373,63,#freexboay,4.143,12.644,104.197
7,0.393,762,#impeachedtwice,6.636,-14.505,83.28
8,0.394,1324,#trumpimpeachment,7.188,16.909,-53.123
9,0.403,63,#invoice,4.143,21.941,-25.561
10,0.408,193,#impeachtrumpagainnow,5.263,-54.057,97.712
11,0.449,5691,#convicttrump,8.647,47.228,-7.61
12,0.45,570,#trumpfailedamerica,6.346,76.207,15.957
13,0.453,46,#presidentoftheunitedstates,3.829,-9.501,-40.751
14,0.458,7,#thursdaymorning,1.946,-37.612,34.648
15,0.46,161,#impeached,5.081,-10.554,47.324
16,0.461,1200,#impeachtrump,7.09,14.325,-88.776
17,0.468,63,#newcompany,4.143,89.564,-15.486
18,0.48,59,#impeachjoebiden,4.078,-42.043,69.879
19,0.481,6336,#trumptreason,8.754,-96.125,12.031
20,0.486,3300,#byebyetrump,8.102,-34.496,-25.568
21,0.487,19,#hoax,2.944,47.198,-68.316
22,0.488,5,#authentication,1.609,44.905,83.25
23,0.491,11,verga,2.398,41.303,20.809
24,0.492,687,#traitortrump,6.532,43.114,49.473
25,0.492,26,inem,3.258,-5.007,-13.333
26,0.494,5,@dingheng,1.609,-69.692,-27.369
27,0.495,28,ouvertement,3.332,16.605,35.811
28,0.5,23,#weareremovingadictator,3.135,-69.544,48.234
29,0.501,156,#casablanca,5.05,14.502,66.583
30,0.502,61,#newmusic,4.111,57.548,-37.641
31,0.502,275,#impeachandremove,5.617,75.741,58.86
