,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,7757,#inauguration,8.956,-82.504,30.817
1,0.104,6,#dalma,1.792,26.79,76.837
2,0.209,5,#road,1.609,44.374,-7.581
3,0.263,3969,#nationalguard,8.286,-27.603,17.672
4,0.345,5,#making,1.609,24.876,43.991
5,0.35,7899,enough,8.974,-52.111,31.575
6,0.367,4405,begging,8.39,57.813,52.181
7,0.38,7627,coming,8.939,-26.317,80.728
8,0.389,9,#ghana,2.197,-53.586,3.047
9,0.401,84,#impreachment,4.431,-0.722,61.879
10,0.414,4503,televised,8.412,-5.083,3.935
11,0.417,14035,safe,9.549,-54.674,-60.684
12,0.424,8928,indoors,9.097,43.19,-62.061
13,0.425,721,#biden,6.581,62.87,-32.538
14,0.442,23760,location,10.076,-27.832,-42.416
15,0.465,4467,unknown,8.404,12.398,-79.187
16,0.47,11,#presidential,2.398,-27.43,47.542
17,0.475,1569,@transition,7.358,27.741,-36.22
18,0.478,310,#bidenharris,5.737,-5.428,-24.71
19,0.478,8423,charge,9.039,-52.54,-26.292
20,0.485,22743,please,10.032,74.86,4.725
21,0.501,250,#insurrection,5.521,48.517,22.545
22,0.503,169,#realnews,5.13,-23.006,-74.551
23,0.504,33753,security,10.427,-2.656,31.907
24,0.513,250,#capitol,5.521,20.644,15.544
25,0.517,9,#bridge,2.197,-83.18,-2.997
26,0.518,75,#imrankhan,4.317,-58.701,62.51
27,0.521,10444,back,9.254,1.943,-50.882
28,0.524,1354,#trump,7.211,17.241,-11.289
29,0.524,35,#january,3.555,-81.376,-36.889
30,0.527,14810,know,9.603,-28.682,-11.059
