,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,18465,#inauguration,9.824,13.762,-16.887
1,0.198,11870,#inaugurationday,9.382,15.729,26.148
2,0.282,7,#itsokaytoplaywithyourfood,1.946,3.926,34.737
3,0.325,1842,#bideninauguration,7.519,11.773,-29.967
4,0.351,7,#housingpolicy,1.946,-3.524,-38.869
5,0.382,17017,@kamalaharris,9.742,26.472,-24.889
6,0.388,1515,#dcmilitary,7.323,59.246,-14.421
7,0.392,53082,@joebiden,10.88,-33.928,16.428
8,0.394,5608,#bidenharris,8.632,61.207,1.903
9,0.395,2504,#nationalguard,7.826,27.528,-41.59
10,0.396,5305,#capitol,8.576,-33.19,-18.003
11,0.398,8247,#capitolbuilding,9.018,-17.36,10.545
12,0.402,9932,#joebiden,9.204,-25.018,-3.382
13,0.413,9143,historic,9.121,11.019,-47.692
14,0.414,21,#ujrajeya,3.045,32.65,18.429
15,0.419,3289,@bideninaugural,8.098,26.589,-10.933
16,0.425,97,#bidenissick,4.575,43.552,4.706
17,0.427,2182,#washington,7.688,1.747,3.643
18,0.433,6,@hewittnewton,1.792,-15.38,27.191
19,0.439,24791,wednesday,10.118,27.276,2.796
20,0.444,7790,#washingtondc,8.961,45.352,-28.453
21,0.45,33,#fivetoone,3.497,-40.25,-1.401
22,0.461,9,#arrestation,2.197,-2.313,-23.885
23,0.462,5076,tune,8.532,14.636,10.491
24,0.462,6,@teetera,1.792,51.541,21.26
25,0.467,428,#january,6.059,14.288,-3.416
26,0.48,20,@frenteprovida,2.996,-10.343,-3.765
27,0.481,621,#capitolhill,6.431,1.671,-10.819
28,0.484,1618,#bidenharrisinauguration,7.389,-15.771,-17.994
29,0.485,30312,next,10.319,-0.327,17.875
30,0.485,20527,look,9.929,42.001,-12.57
31,0.488,216,venue,5.375,30.629,35.479
