,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,11870,#inaugurationday,9.382,22.932,50.94
1,0.198,18465,#inauguration,9.824,-45.216,63.788
2,0.339,6,@dominikacosic,1.792,-66.498,22.246
3,0.357,5,@dweisa,1.609,-2.081,29.053
4,0.358,1842,#bideninauguration,7.519,3.442,0.132
5,0.36,9143,historic,9.121,-10.173,-58.147
6,0.401,17017,@kamalaharris,9.742,0.45,101.7
7,0.412,279,#giphy,5.631,-96.732,-11.266
8,0.414,9932,#joebiden,9.204,29.347,19.971
9,0.418,7,#housingpolicy,1.946,-10.147,63.105
10,0.422,24791,wednesday,10.118,13.611,-32.133
11,0.423,2764,#kamalaharris,7.924,-41.84,-89.162
12,0.426,5608,#bidenharris,8.632,64.413,2.476
13,0.427,135,#montpellier,4.905,4.598,-92.09
14,0.429,1618,#bidenharrisinauguration,7.389,94.271,-25.706
15,0.443,7,#itsokaytoplaywithyourfood,1.946,27.711,-62.954
16,0.454,53082,@joebiden,10.88,-15.999,-23.99
17,0.459,3289,@bideninaugural,8.098,-114.473,-42.85
18,0.462,428,#january,6.059,65.992,-73.767
19,0.466,2182,#washington,7.688,-33.98,32.768
20,0.469,5850,moment,8.674,57.565,40.266
21,0.472,100288,january,11.516,38.279,84.498
22,0.476,8456,#donaldtrump,9.043,-50.914,106.747
23,0.476,7,repo,1.946,-41.837,-44.485
24,0.481,5,#adamnewbold,1.609,51.215,-34.307
25,0.487,2504,#nationalguard,7.826,-28.233,3.231
26,0.488,219,invocation,5.389,-82.749,59.88
27,0.49,7790,#washingtondc,8.961,84.449,75.199
28,0.492,11,#libros,2.398,-73.967,-56.501
29,0.493,5567,#usa,8.625,33.051,-9.033
30,0.505,313,lineup,5.746,-57.738,-14.609
31,0.506,8247,#capitolbuilding,9.018,98.08,30.971
