,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,8660,#insurrection,9.066,93.994,-31.731
1,0.256,1027,#sedition,6.934,28.295,-86.277
2,0.297,271,#domesticterrorism,5.602,17.729,-3.84
3,0.316,34541,#capitolriot,10.45,29.129,32.915
4,0.316,1585,#capitolriots,7.368,38.605,-143.636
5,0.333,184,#winmetawin,5.215,7.525,66.264
6,0.341,460,#arrestthemallnow,6.131,-11.578,-116.539
7,0.371,646,#gopcomplicittraitors,6.471,-33.93,76.669
8,0.376,5226,#capitol,8.561,110.673,52.816
9,0.39,1190,#trumpcoupattempt,7.082,-66.803,-43.107
10,0.39,6348,#trumptreason,8.756,66.49,61.303
11,0.392,5,#thedeplorables,1.609,70.604,129.397
12,0.395,195,#artificialintelligence,5.273,15.426,-45.308
13,0.412,220,#artistontwitter,5.394,-104.305,-84.727
14,0.413,498,#treason,6.211,-115.581,28.032
15,0.416,22,#onoublierapas,3.091,-21.033,-17.256
16,0.425,212,#insurrectionhasconsequences,5.357,73.163,-69.319
17,0.431,10,aggiungere,2.303,-81.335,84.356
18,0.432,102,#noflylist,4.625,105.103,9.03
19,0.432,10,ricordarsi,2.303,-23.318,-65.933
20,0.436,451,#domesticterrorists,6.111,136.667,-24.096
21,0.442,603,#gopseditioustraitors,6.402,62.531,14.504
22,0.448,772,#republicans,6.649,41.251,95.074
23,0.451,173,#startups,5.153,-12.578,27.065
24,0.459,5023,#convicttrump,8.522,-59.102,-118.657
25,0.46,210,#warzone,5.347,112.774,101.651
26,0.463,1211,#capitolhill,7.099,-126.745,-30.231
27,0.465,5873,#maga,8.678,-64.42,0.098
28,0.467,358,#coupattempt,5.881,15.689,155.016
29,0.467,1626,#gop,7.394,-52.16,39.756
30,0.472,6,cafajeste,1.792,-9.237,114.288
31,0.473,221,#biggboss,5.398,52.657,-28.459
