,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,9932,#joebiden,9.204,-65.007,77.651
1,0.227,2764,#kamalaharris,7.924,83.772,88.814
2,0.264,26543,#biden,10.187,-69.934,-4.432
3,0.265,7,#housingpolicy,1.946,-135.748,-86.698
4,0.283,5608,#bidenharris,8.632,-45.774,36.985
5,0.292,11,#uspresidentialelection,2.398,-69.155,-104.457
6,0.304,5567,#usa,8.625,-17.802,82.764
7,0.306,63,#familyviza,4.143,-129.516,76.056
8,0.339,414,#bidenactnow,6.026,-10.729,144.045
9,0.36,25,#stopwarontigry,3.219,83.082,-77.856
10,0.368,8456,#donaldtrump,9.043,103.309,-23.313
11,0.372,1842,#bideninauguration,7.519,62.946,142.12
12,0.384,279,#giphy,5.631,-22.332,-83.563
13,0.396,572,#unitedstates,6.349,41.791,54.442
14,0.399,11,#libros,2.398,57.294,-35.982
15,0.402,18465,#inauguration,9.824,-20.908,1.233
16,0.404,61,#copelandnetwork,4.111,-90.065,133.501
17,0.409,1222,#bidentakeaction,7.108,151.886,1.994
18,0.414,11870,#inaugurationday,9.382,66.244,-125.277
19,0.417,51,#eritreaoutoftigray,3.932,-151.525,-7.856
20,0.42,31,apparences,3.434,136.667,-68.817
21,0.422,2251,#america,7.719,23.639,6.164
22,0.423,8,#donieosullivan,2.079,-3.052,-133.121
23,0.424,6,#dronevolt,1.792,8.789,-33.823
24,0.435,7,takeaction,1.946,-0.618,42.535
25,0.438,10,#lstm,2.303,26.632,-76.161
26,0.443,140,#bumpup,4.942,-37.415,-40.261
27,0.446,6,#ridethebluewave,1.792,-106.043,25.629
28,0.446,40,#democlicans,3.689,64.88,13.787
29,0.448,62,#pontifex,4.127,-91.111,-47.571
30,0.451,269,#estadosunidos,5.595,153.69,57.127
31,0.455,65,#lopezdestruyendomexico,4.174,104.026,39.157
