,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,3851,#kamalaharris,8.256,-4.422,-96.325
1,0.167,35,#democracygumbo,3.555,28.935,48.396
2,0.305,218,#kamalaharrismakinghistory,5.384,17.469,11.212
3,0.322,5,actnow,1.609,-51.694,-3.309
4,0.332,11,@meena,2.398,-11.649,-12.249
5,0.337,5,#cuomosexul,1.609,-76.796,-46.217
6,0.34,162,#kamalaharrisvp,5.088,3.089,-53.78
7,0.36,3532,#bidenharrisinauguration,8.17,-106.601,64.56
8,0.367,9883,#joebiden,9.199,45.459,92.267
9,0.375,4822,#bidenharris,8.481,-18.916,127.465
10,0.412,8,#hoe,2.079,111.076,13.095
11,0.413,46,@noconversion,3.829,39.515,-78.223
12,0.421,135,#bumpup,4.905,-144.399,16.879
13,0.43,416,#donttrustpeoplewho,6.031,-6.215,79.681
14,0.439,28065,#inauguration,10.242,130.144,-48.98
15,0.449,11,@cristobalsilva,2.398,130.963,68.539
16,0.449,36064,#inaugurationday,10.493,34.328,-28.336
17,0.452,72,#grenfelltower,4.277,97.131,110.747
18,0.456,11,@magepetorr,2.398,-99.92,-4.681
19,0.458,110,#eritreaoutoftigray,4.7,61.462,3.437
20,0.462,12,trasmesso,2.485,87.213,-101.437
21,0.465,1646,#mlk,7.406,-35.867,-45.481
22,0.467,4941,#mlkday,8.505,-97.588,-99.172
23,0.467,10,#vicepresidentelect,2.303,79.411,52.873
24,0.469,13,#indianamerican,2.565,75.686,-46.488
25,0.472,25,#mvp,3.219,-69.531,33.885
26,0.474,59,#vpharris,4.078,-36.837,-141.249
27,0.48,267,#presidentelectbiden,5.587,31.09,-132.806
28,0.484,5,@liliamvon,1.609,-58.357,84.456
29,0.484,208,#mikepence,5.338,-46.452,-87.264
30,0.486,19800,#biden,9.893,-24.146,37.483
31,0.49,107,#stopethnicprofilingtigrayans,4.673,28.158,146.819
