,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,2672,#nationalguard,7.891,4.9,-8.481
1,0.293,869,#dclockdown,6.767,-1.466,-0.938
2,0.361,7802,#washingtondc,8.962,22.434,-32.393
3,0.378,5,#chefandres,1.609,1.873,-6.146
4,0.381,546,#january,6.303,-6.976,5.491
5,0.408,3567,#capitol,8.179,9.264,-5.554
6,0.416,32,@coloradogov,3.466,10.062,7.631
7,0.426,666,#thecapitol,6.501,7.37,-8.402
8,0.438,6674,#capitolbuilding,8.806,29.803,20.12
9,0.44,2069,feed,7.635,15.966,-11.744
10,0.465,316,@chefjoseandres,5.756,7.459,-3.751
11,0.476,193,#pleasejustgo,5.263,12.929,-5.917
12,0.477,35,rdevletiabd,3.555,38.298,16.238
13,0.479,9,#marketingstrategy,2.197,11.777,-7.722
14,0.488,1019,departments,6.927,10.64,-11.822
15,0.491,18,meritorious,2.89,24.891,2.558
16,0.491,4632,#washington,8.441,10.755,0.925
17,0.492,15,#marines,2.708,16.555,-3.645
18,0.493,17358,#inauguration,9.762,-23.276,-3.679
19,0.493,44810,restaurants,10.71,26.921,-30.524
20,0.499,316,sleuthing,5.756,3.101,-7.499
21,0.501,2042,neighbors,7.622,3.827,-1.438
22,0.502,37,eseguita,3.611,18.828,-4.952
23,0.505,6,#ctcapitolpolice,1.792,13.086,3.331
24,0.505,123,liquify,4.812,5.937,0.181
25,0.508,6,#inenglish,1.792,6.099,13.788
26,0.51,34,#dcstrong,3.526,4.433,-5.256
27,0.512,7,#tallahassee,1.946,7.695,2.282
28,0.512,206,remake,5.328,13.1,3.581
29,0.521,14,enchermos,2.639,7.695,-1.855
30,0.522,9645,friends,9.174,10.71,6.788
