,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,5321,#privacy,8.579,-0.732,-1.733
1,0.127,5,#anonieminternetten,1.609,14.728,-5.668
2,0.231,715,#data,6.572,4.293,-12.379
3,0.246,988,#dataprotection,6.896,-2.799,-11.928
4,0.256,1061,#security,6.967,0.828,-7.294
5,0.267,2389,#cybersecurity,7.779,7.624,-19.531
6,0.283,6,#moneybill,1.792,20.157,-2.397
7,0.311,1316,#infosec,7.182,11.046,-8.892
8,0.318,747,#dataprivacy,6.616,14.359,-18.311
9,0.324,2871,#whatsapp,7.962,11.722,11.854
10,0.345,877,#tech,6.777,8.628,1.657
11,0.347,657,#gdpr,6.488,1.274,-17.373
12,0.347,1139,#datasecurity,7.038,20.345,-15.405
13,0.351,582,#technology,6.366,23.792,2.721
14,0.356,23,#politique,3.135,2.964,3.235
15,0.366,6,#personaldataprotection,1.792,24.715,-3.873
16,0.374,8,#moneybills,2.079,13.719,-0.242
17,0.377,397,#whatsappnewpolicy,5.984,-3.559,3.404
18,0.378,8,@soyfdelrincon,2.079,24.834,-10.437
19,0.379,8,#avg,2.079,9.924,-3.53
20,0.38,295,#blockchain,5.687,9.684,-14.079
21,0.387,126,#cyberforensics,4.836,18.67,9.1
22,0.387,14391,data,9.574,1.676,9.201
23,0.4,341,#hacking,5.832,4.958,-2.299
24,0.405,576,#malware,6.356,18.559,3.16
25,0.405,10,#smallbizbritain,2.303,7.4,7.356
26,0.414,6,#readdestroy,1.792,15.384,-12.268
27,0.418,27,#twitterparty,3.296,-5.315,-5.403
28,0.42,6,#malwaredevil,1.792,13.018,5.457
29,0.421,1721,#facebook,7.451,6.282,-7.415
30,0.422,6,ricreato,1.792,19.845,-8.363
