,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,20337,safe,9.92,-13.061,-43.094
1,0.294,11173,keep,9.321,-27.352,21.378
2,0.326,10384,best,9.248,51.029,67.332
3,0.34,17344,everyone,9.761,12.223,-69.545
4,0.354,23843,work,10.079,-45.659,-53.584
5,0.361,16422,world,9.706,3.793,29.643
6,0.389,236798,safety,12.375,43.449,-100.331
7,0.393,24033,need,10.087,-63.861,-86.907
8,0.398,9221,provide,9.129,44.693,-60.973
9,0.401,7955,face,8.982,83.012,-39.78
10,0.406,5,@stephenkelley,1.609,60.45,3.461
11,0.413,8,@sandyblueeyes,2.079,-89.726,-56.502
12,0.415,14218,mask,9.562,79.821,36.021
13,0.417,6,@rievuh,1.792,-99.968,-13.192
14,0.417,6,@kozukenma,1.792,25.723,-0.49
15,0.419,1806,keeping,7.499,-57.185,50.835
16,0.42,6,@kkayano,1.792,-22.861,61.312
17,0.429,5,@narelleford,1.609,-21.072,-78.034
18,0.43,17626,make,9.777,-89.643,27.719
19,0.44,8,@robthefrosty,2.079,-57.703,8.463
20,0.445,4998,highest,8.517,-65.565,-26.251
21,0.45,4236,ensures,8.351,-4.628,-6.036
22,0.453,58581,people,10.978,-33.647,-114.192
23,0.461,8125,give,9.003,6.364,-108.497
24,0.461,2021,orderly,7.611,98.226,-4.304
25,0.462,15219,protect,9.63,37.356,32.184
26,0.462,18616,health,9.832,48.942,-27.723
27,0.462,12872,good,9.463,-33.271,-16.984
28,0.468,46166,like,10.74,12.086,68.38
29,0.468,7037,staff,8.859,16.814,-34.091
30,0.471,4967,quality,8.511,79.274,-78.578
