,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,414668,security,12.935,69.815,128.096
1,0.27,204349,national,12.228,-66.727,-71.177
2,0.321,11,ulbp,2.398,-12.792,-94.461
3,0.34,6,@nationmyfamily,1.792,-43.734,36.597
4,0.353,6,@insanatan,1.792,24.268,-38.007
5,0.356,6,@wishmaster,1.792,133.069,-38.661
6,0.369,11,@yhtet,2.398,41.393,7.908
7,0.374,6,@swetamishraa,1.792,-27.888,88.215
8,0.38,5,@markp,1.609,25.525,95.19
9,0.38,20230,give,9.915,75.092,-40.288
10,0.386,14412,threat,9.576,-107.562,-34.29
11,0.397,8433,risk,9.04,-154.082,-1.656
12,0.397,5,ciidamada,1.609,-137.345,68.116
13,0.405,46572,homeland,10.749,55.609,-137.828
14,0.407,12,@winterakoniet,2.485,111.667,79.745
15,0.408,6,@dhananjayparkhe,1.792,101.608,-92.996
16,0.415,9,@malicevheri,2.197,144.763,25.828
17,0.416,6,@paperrose,1.792,-22.647,-46.459
18,0.418,12,@lmeulebroek,2.485,91.766,10.829
19,0.418,11,coqmixyb,2.398,-7.187,-148.626
20,0.419,6,@keshda,1.792,-68.172,-127.788
21,0.42,5,@brbrophy,1.609,-80.873,74.843
22,0.422,8115,taking,9.001,-58.899,-13.161
23,0.422,21933,information,9.996,-125.451,-89.189
24,0.426,6,@nedopposes,1.792,-9.009,1.054
25,0.434,5,blueeyes,1.609,-97.389,21.999
26,0.441,7,@resisterty,1.946,7.778,46.916
27,0.443,7372,data,8.905,61.793,56.363
28,0.445,14628,serious,9.591,-4.788,145.157
29,0.448,4050,cyber,8.306,-72.535,131.255
30,0.451,5,@cyanbutterfly,1.609,39.783,-85.006
