,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,60532,#trump,11.011,4.381,37.706
1,0.231,11053,#donaldtrump,9.31,63.085,-31.365
2,0.301,19800,#biden,9.893,40.745,-29.257
3,0.316,25,#pmik,3.219,-15.986,-57.431
4,0.344,6050,#usa,8.708,15.213,0.71
5,0.348,5873,#maga,8.678,-25.165,-35.839
6,0.368,21,@sms,3.045,66.257,26.316
7,0.379,29,wiemy,3.367,-27.603,23.246
8,0.385,5,#stipemesic,1.609,19.876,-18.585
9,0.404,6348,#trumptreason,8.756,21.098,31.346
10,0.404,825,#politics,6.715,20.235,-38.353
11,0.413,21,sachsen,3.045,33.965,-5.806
12,0.414,233,#randomtrump,5.451,-22.202,5.212
13,0.423,6,@ikhebgezien,1.792,22.892,52.008
14,0.425,772,#republicans,6.649,8.979,18.037
15,0.426,9883,#joebiden,9.199,53.629,-7.637
16,0.431,1863,#america,7.53,5.672,-55.625
17,0.433,6,@tukkerr,1.792,-1.85,-32.945
18,0.435,21,@mpkretschmer,3.045,1.225,58.308
19,0.44,1736,#trumpseriesfinale,7.459,2.395,-12.428
20,0.45,5226,#capitol,8.561,-38.318,-14.12
21,0.454,29,finanse,3.367,-49.453,7.945
22,0.454,20,#truebeautyep,2.996,-3.654,4.741
23,0.457,30,etmi,3.401,-14.451,42.501
24,0.458,1626,#gop,7.394,-15.658,-13.203
25,0.462,170,#electionfraudisreal,5.136,50.014,11.106
26,0.464,5,#alertaroja,1.609,43.71,-53.843
27,0.474,46,@noconversion,3.829,28.052,13.401
28,0.477,330,guerrier,5.799,-37.325,44.365
29,0.487,11,komik,2.398,77.65,3.961
30,0.488,29,veee,3.367,39.475,29.922
31,0.492,116,tosaveamerica,4.754,-8.494,22.716
