,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,2169,#trumpimpeachment,7.682,-4.209,65.734
1,0.028,14,@zinyemo,2.639,37.902,-93.518
2,0.269,587,#trumpfailedamerica,6.375,26.551,31.604
3,0.283,10050,#trumptreason,9.215,-45.496,-68.385
4,0.298,2034,#trumpcoupattempt,7.618,-51.423,86.09
5,0.308,587,#impeachedtwice,6.375,9.214,-58.619
6,0.333,406,#trumpcrimefamilyforprison,6.006,-23.195,-31.871
7,0.341,589,#trumpisacompletefailure,6.378,-11.456,-97.585
8,0.351,762,#gopcomplicittraitors,6.636,-84.705,-86.926
9,0.358,421,#trumpbanned,6.043,95.319,-54.506
10,0.378,724,#americaortrump,6.585,3.397,121.179
11,0.397,8456,#donaldtrump,9.043,50.74,-45.436
12,0.403,41,@mikef,3.714,-132.392,-54.51
13,0.406,128,#trumpmeltdown,4.852,77.249,41.904
14,0.41,973,#politics,6.88,-49.317,-0.894
15,0.414,1157,#trumpinsurrection,7.054,86.869,99.627
16,0.416,514,#trumpcrimefamily,6.242,-88.899,118.737
17,0.417,156,#trumpconceded,5.05,-96.05,7.994
18,0.428,445,#trumpisacriminal,6.098,-143.731,1.789
19,0.432,886,#traitortrump,6.787,-60.139,39.736
20,0.432,30,#drone,3.401,-109.02,61.202
21,0.435,29,designar,3.367,52.714,-0.378
22,0.437,495,#capitole,6.205,40.046,75.196
23,0.441,7,#imgxnct,1.946,-131.563,-124.396
24,0.442,279,#giphy,5.631,13.563,-11.42
25,0.443,941,#impeachtrump,6.847,-13.19,23.361
26,0.443,9,#narcissistinchief,2.197,22.947,-144.916
27,0.448,384,#trumpisanationaldisgrace,5.951,-78.39,-35.666
28,0.448,511,#domesticterrorism,6.236,-52.687,-133.07
29,0.448,503,#democracy,6.221,123.865,41.994
30,0.449,195,#magaterrorism,5.273,88.11,-104.021
31,0.451,743,#seditioncaucus,6.611,96.015,-5.564
