,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,6348,#trumptreason,8.756,-68.358,-54.387
1,0.184,1190,#trumpcoupattempt,7.082,-90.253,6.298
2,0.208,549,#traitortrump,6.308,46.041,24.705
3,0.229,350,#trumpfailedamerica,5.858,62.232,-23.613
4,0.235,646,#gopcomplicittraitors,6.471,10.181,-9.053
5,0.241,1736,#trumpseriesfinale,7.459,-23.416,87.955
6,0.265,508,#trumpisacriminal,6.23,-25.906,-111.166
7,0.277,5023,#convicttrump,8.522,25.559,-57.18
8,0.31,309,#trumpcrimefamilyforprison,5.733,-94.096,126.109
9,0.314,603,#gopseditioustraitors,6.402,-83.354,66.199
10,0.322,739,#magaterrorists,6.605,0.802,43.017
11,0.323,375,#trumpisacompletefailure,5.927,21.666,139.354
12,0.328,612,#americaortrump,6.417,-78.836,-120.794
13,0.333,659,#seditionhasconsequences,6.491,74.971,118.693
14,0.346,1061,#trumpimpeachment,6.967,170.281,-14.983
15,0.354,443,#trumpcrimefamily,6.094,-45.83,33.844
16,0.362,449,#accountability,6.107,147.631,51.059
17,0.363,1585,#capitolriots,7.368,-146.82,66.828
18,0.367,358,#coupattempt,5.881,-36.962,-11.885
19,0.37,589,#trumpisanationaldisgrace,6.378,77.087,-76.914
20,0.378,460,#arrestthemallnow,6.131,-119.086,-76.272
21,0.383,730,#trumpinsurrection,6.593,81.85,64.247
22,0.386,297,#traitorssupporttraitortrump,5.694,-143.972,-16.719
23,0.388,262,#trumpbanned,5.568,132.541,-99.442
24,0.39,7,#trumpfleeingsceneofcrimes,1.946,29.333,-107.874
25,0.39,8660,#insurrection,9.066,-20.65,-58.233
26,0.394,1863,#america,7.53,120.474,-37.488
27,0.397,11053,#donaldtrump,9.31,138.297,119.265
28,0.404,60532,#trump,11.011,53.989,-167.375
29,0.404,499,#impeachedtwice,6.213,-10.553,-186.326
30,0.41,1027,#sedition,6.934,100.697,15.092
31,0.41,655,#traitors,6.485,30.93,83.423
