,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,4767,#uscapitol,8.469,-39.595,13.023
1,0.181,15,@sanjayazadsln,2.708,49.972,16.554
2,0.284,2748,#capitolbuilding,7.919,-9.713,14.607
3,0.323,870,shields,6.768,64.559,-12.996
4,0.376,1347,@prisonplanet,7.206,3.483,-104.013
5,0.378,2713,guards,7.906,10.311,109.527
6,0.379,15846,#washingtondc,9.671,21.808,13.923
7,0.393,9,assedio,2.197,-78.4,4.025
8,0.398,4650,#capitol,8.445,-9.221,-35.269
9,0.404,4994,#nationalguard,8.516,-54.205,-18.431
10,0.405,2006,authorities,7.604,-6.514,-67.37
11,0.413,1422,@mrandyngo,7.26,41.473,47.531
12,0.422,1065,armor,6.971,45.354,88.505
13,0.426,1543,#dcmilitary,7.341,8.26,40.161
14,0.429,1136,#congress,7.035,101.766,-11.866
15,0.435,1960,@oann,7.581,-61.958,40.579
16,0.438,622,gitmeye,6.433,-20.471,78.07
17,0.442,779,knee,6.658,-73.182,-48.428
18,0.443,5,farlig,1.609,42.821,-98.714
19,0.455,2030,#dclockdown,7.616,-23.959,-11.605
20,0.461,9344,riot,9.142,87.077,-41.907
21,0.464,1173,#capitolhill,7.067,25.938,-66.896
22,0.464,1571,equipment,7.359,81.405,20.673
23,0.467,1601,innocent,7.378,-39.224,-91.285
24,0.472,7,#uscapitolviolence,1.946,16.184,70.123
25,0.477,11,#readingcommunity,2.398,-25.291,42.535
26,0.478,29,diverted,3.367,5.007,-9.521
27,0.481,1277,#capitolriots,7.152,48.731,-42.399
28,0.484,16,#guyonporch,2.773,35.11,-13.259
29,0.486,9,@steffikeith,2.197,17.756,-36.633
30,0.488,1898,@rsbnetwork,7.549,-35.827,-46.478
31,0.496,1864,carrying,7.53,73.574,64.335
