,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,3066,#washington,8.028,-11.092,-31.678
1,0.29,5140,#washingtondc,8.545,59.236,-91.282
2,0.337,297,gewoon,5.694,-8.105,71.021
3,0.355,4818,#usa,8.48,199.944,139.51
4,0.36,10,franceinfo,2.303,129.995,89.478
5,0.361,76,#origon,4.331,102.016,45.657
6,0.372,11,#geonews,2.398,-5.959,104.868
7,0.394,467,hoofdstad,6.146,39.589,-21.866
8,0.395,171,opositor,5.142,68.057,-3.51
9,0.4,303,diario,5.714,-6.648,40.898
10,0.401,234,#portland,5.455,-57.813,1.81
11,0.405,262,rellen,5.568,-75.119,53.154
12,0.406,13,#pacificnorthwest,2.565,-36.782,-17.731
13,0.408,145,reivindicaci,4.977,44.55,15.223
14,0.417,179,denunciada,5.187,113.62,-43.437
15,0.428,5,#natureisbeautiful,1.609,-41.447,43.676
16,0.428,253,#captool,5.533,254.335,29.868
17,0.436,145,vigencia,4.977,79.948,-61.177
18,0.436,201,diputado,5.303,-88.402,0.255
19,0.441,236,allochtonen,5.464,98.105,13.386
20,0.445,93,cometer,4.533,-1.997,-62.929
21,0.453,342,#seattle,5.835,41.486,-52.308
22,0.456,96,#blackout,4.564,-39.891,-57.953
23,0.459,441,#india,6.089,35.735,85.828
24,0.462,13,@xeentwit,2.565,-21.321,11.807
25,0.464,593,estadounidense,6.385,15.984,23.979
26,0.469,53,#bunny,3.97,56.935,50.794
27,0.47,4304,#capitol,8.367,83.964,-26.725
28,0.473,6,#redmond,1.792,11.698,-9.576
29,0.476,5,bhatia,1.609,-147.155,-57.567
30,0.477,2642,#capitolriots,7.879,22.781,-84.012
