,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,7802,#washingtondc,8.962,21.982,-37.48
1,0.303,546,#january,6.303,42.524,-11.742
2,0.339,3567,#capitol,8.179,-45.514,-42.256
3,0.347,6674,#capitolbuilding,8.806,-33.646,-25.723
4,0.352,9,#tbr,2.197,-5.078,-19.304
5,0.361,2672,#nationalguard,7.891,37.933,8.342
6,0.374,520,#dcriots,6.254,8.293,-48.158
7,0.386,35,rdevletiabd,3.555,25.665,-19.668
8,0.393,33,#demanddemocracy,3.497,20.995,19.448
9,0.394,2723,#capitolriots,7.909,-3.782,-66.023
10,0.397,194,#dcprotests,5.268,-22.217,24.494
11,0.411,869,#dclockdown,6.767,-20.832,-13.428
12,0.42,36,#volunteer,3.584,8.197,6.65
13,0.423,8,#susanville,2.079,-22.757,3.732
14,0.429,5,#dceats,1.609,-1.85,-35.458
15,0.447,762,#capitolhill,6.636,-40.604,11.345
16,0.448,4797,#inaugurationday,8.476,-26.136,-62.212
17,0.45,29,#transportation,3.367,41.195,-31.792
18,0.45,317,#dcriot,5.759,2.477,28.478
19,0.461,7649,#trumpimpeachment,8.942,-37.898,-7.379
20,0.463,193,#pleasejustgo,5.263,17.062,-63.9
21,0.465,62,sonhado,4.127,-7.663,13.175
22,0.469,112,#panicindc,4.718,-10.696,-49.164
23,0.471,55,alarma,4.007,33.573,-51.296
24,0.474,3841,scene,8.253,-27.317,-43.462
25,0.481,810,#stopthesteal,6.697,10.429,-26.137
26,0.482,145,#trumpcoup,4.977,-17.129,-30.181
27,0.483,17358,#inauguration,9.762,-52.086,-19.972
28,0.484,1535,#america,7.336,-6.65,-3.586
29,0.486,32,harekat,3.466,23.412,-2.482
30,0.486,15,#inauguratie,2.708,8.829,-10.388
