,Labels,Xcoords,Ycoords,Sizes
0,#metoo,79.058716,-28.126804,2.995732273553991
1,@sarahmedary,150.81648,85.58219,1.791759469228055
2,movement,3.409561,164.74995,12.049541634962177
3,@ritacobix,8.463515,-147.95354,4.23410650459726
4,@koksalakn,24.50184,-68.729546,4.23410650459726
5,moment,-47.038795,-84.40067,10.05805243228504
6,@thebestnumber,79.187416,130.46722,2.0794415416798357
7,time,-27.83606,-20.039255,12.264549079289027
8,@abdagupta,-49.480225,49.525143,1.6094379124341003
9,sexual,23.319456,16.173618,12.78753658629484
10,fiel,144.18602,-76.10493,2.0794415416798357
11,@bperrionni,-68.02891,126.58863,4.23410650459726
12,@mollymist,-126.57811,72.03584,3.2188758248682006
13,abuse,-93.8366,-9.511911,10.517564469112537
14,every,-75.70161,-154.27605,10.973648925030222
15,#sinterklaas,-127.823074,-82.23624,4.276666119016055
16,first,11.143582,86.17393,10.893307517698398
17,victims,81.912384,49.446846,6.907755278982137
18,harassment,-168.57272,-2.6059093,11.596117055856993
19,insecurityinsig,82.006874,-123.16439,8.06054004653864
20,assault,151.18929,3.4682202,11.977602432710238
